id,task,framework,constraint,fold,type,result,metric,mode,version,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,r2,rmse,models_ensemble_count,acc,auc,balacc,logloss,infer_batch_size_df_1,infer_batch_size_file_1,infer_batch_size_file_10,infer_batch_size_file_100,infer_batch_size_file_1000,infer_batch_size_file_10000
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,0,binary,0.936302,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:56:20,4210.0,4048.6,0.4,111.0,1353545784,,,,,10.0,0.889157,0.936302,0.825476,0.271226,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,1,binary,0.939507,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:56:34,4228.6,4048.0,0.5,111.0,1353545785,,,,,13.0,0.877108,0.939507,0.804456,0.267862,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,2,binary,0.904624,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:58:44,4336.4,4157.2,0.4,111.0,1353545786,,,,,10.0,0.86988,0.904624,0.806152,0.328415,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,3,binary,0.925193,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:47:09,7229.4,6587.6,7.9,220.0,1353545787,,,,,118.0,0.860241,0.925193,0.780231,0.292877,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,4,binary,0.949216,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:45:14,7119.7,6492.6,6.7,220.0,1353545788,,,,,117.0,0.896386,0.949216,0.856298,0.247704,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,5,binary,0.913897,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:44:41,7082.9,6465.9,6.9,220.0,1353545789,,,,,117.0,0.860241,0.913897,0.799742,0.305622,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,6,binary,0.887821,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:01:48,4479.3,4288.7,0.5,111.0,1353545790,,,,,11.0,0.843373,0.887821,0.769013,0.350885,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,7,binary,0.913152,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:59:34,4344.4,4153.8,0.5,111.0,1353545791,,,,,11.0,0.842995,0.913152,0.772126,0.31186,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,8,binary,0.927138,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T12:56:52,4195.5,4022.4,0.5,111.0,1353545792,,,,,10.0,0.871981,0.927138,0.804405,0.285998,,,,,,
openml.org/t/190411,ada,AutoGluon_bq_v1,4h8c,9,binary,0.919683,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T13:50:09,7374.2,6713.6,8.5,220.0,1353545793,,,,,119.0,0.845411,0.919683,0.778658,0.30242,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,0,binary,0.933172,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:22,15066.3,14408.2,70.1,145.0,1353545784,,,,,107.0,0.87697,0.933172,0.796885,0.26796,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,1,binary,0.930738,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:39,15063.4,14415.0,69.9,135.0,1353545785,,,,,98.0,0.877789,0.930738,0.804459,0.269339,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,2,binary,0.933442,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:24,15048.7,14414.7,69.8,129.0,1353545786,,,,,92.0,0.875717,0.933442,0.804143,0.267584,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,3,binary,0.929254,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:17,15027.4,14417.5,65.5,133.0,1353545787,,,,,94.0,0.870803,0.929254,0.798859,0.274794,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,4,binary,0.929653,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:19,15068.1,14414.0,71.7,135.0,1353545788,,,,,98.0,0.874693,0.929653,0.798481,0.273712,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,5,binary,0.927248,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:31,15047.2,14421.1,72.5,135.0,1353545789,,,,,97.0,0.872236,0.927248,0.798472,0.276885,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,6,binary,0.933197,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:03,15053.7,14409.2,70.0,133.0,1353545790,,,,,98.0,0.870598,0.933197,0.794171,0.268275,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,7,binary,0.933812,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:22,15059.7,14410.9,70.9,131.0,1353545791,,,,,96.0,0.876126,0.933812,0.796046,0.268424,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,8,binary,0.939794,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:19,15057.9,14419.2,69.5,136.0,1353545792,,,,,100.0,0.882064,0.939794,0.811675,0.256973,,,,,,
openml.org/t/359983,adult,AutoGluon_bq_v1,4h8c,9,binary,0.936391,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:22,15039.1,14417.9,67.9,132.0,1353545793,,,,,97.0,0.879812,0.936391,0.808142,0.261065,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,0,binary,0.733625,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:53:56,14683.8,14519.3,43.9,14.0,1353545784,,,,,10.0,0.677543,0.733625,0.663016,0.597205,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,1,binary,0.73558,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:53:56,14684.2,14516.4,45.7,14.0,1353545785,,,,,10.0,0.679138,0.73558,0.664899,0.595677,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,2,binary,0.732973,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:13,14682.8,14515.1,45.4,14.0,1353545786,,,,,10.0,0.677803,0.732973,0.663381,0.59751,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,3,binary,0.735431,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:22,14687.5,14521.5,43.9,14.0,1353545787,,,,,10.0,0.680522,0.735431,0.666553,0.595702,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,4,binary,0.731007,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:38,14686.4,14517.2,46.5,14.0,1353545788,,,,,10.0,0.67559,0.731007,0.661681,0.598265,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,5,binary,0.730518,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:20,14684.3,14519.5,43.9,14.0,1353545789,,,,,10.0,0.675906,0.730518,0.661854,0.599148,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,6,binary,0.732454,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:17,14667.4,14515.0,27.6,14.0,1353545790,,,,,9.0,0.676406,0.732454,0.662113,0.597828,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,7,binary,0.733263,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:55:40,14705.4,14521.3,57.3,14.0,1353545791,,,,,11.0,0.679076,0.733263,0.664782,0.59688,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,8,binary,0.73338,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:54:53,14666.7,14518.1,26.2,14.0,1353545792,,,,,9.0,0.678334,0.73338,0.664011,0.597349,,,,,,
openml.org/t/189354,airlines,AutoGluon_bq_v1,4h8c,9,binary,0.736048,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:55:07,14681.6,14515.1,44.9,14.0,1353545793,,,,,10.0,0.680281,0.736048,0.665953,0.59574,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,0,regression,-28.274,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:41:58,19514.7,16940.6,1241.9,11.0,1353545784,,13.6343,0.0587624,28.274,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,1,regression,-28.6345,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:44:21,19637.9,17088.9,1230.9,11.0,1353545785,,13.6834,0.0612533,28.6345,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,3,regression,-28.9287,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:32,17136.8,14590.5,1236.7,10.0,1353545787,,13.66,0.0603074,28.9287,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,4,regression,-28.8586,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:47:39,19819.8,17016.8,1363.6,11.0,1353545788,,13.6768,0.057306,28.8586,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,5,regression,-28.6206,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:49:46,19956.3,17147.4,1365.8,11.0,1353545789,,13.6565,0.0575647,28.6206,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,6,regression,-28.6181,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:47:06,19793.7,17039.5,1335.8,11.0,1353545790,,13.6605,0.0574685,28.6181,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,7,regression,-28.6052,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:43:37,19558.0,16942.9,1263.4,11.0,1353545791,,13.6307,0.0563018,28.6052,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,8,regression,-28.5412,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:43:47,19592.4,16946.5,1278.9,11.0,1353545792,,13.6374,0.0620651,28.5412,8.0,,,,,,,,,,
openml.org/t/359929,Airlines_DepDelay_10M,AutoGluon_bq_v1,4h8c,9,regression,-28.5378,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:51:43,20044.5,17163.8,1395.4,11.0,1353545793,,13.6502,0.0546226,28.5378,8.0,,,,,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,0,binary,0.785777,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:57:43,14791.2,14533.1,51.7,24.0,1353545784,,,,,16.0,0.709458,0.785777,0.709458,0.55677,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,1,binary,0.786149,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:57:51,14799.0,14533.7,52.4,24.0,1353545785,,,,,16.0,0.712962,0.786149,0.712962,0.557315,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,2,binary,0.787398,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:03,14810.9,14545.1,52.6,24.0,1353545786,,,,,16.0,0.712703,0.787398,0.712703,0.555617,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,3,binary,0.784158,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:18,14801.8,14537.0,51.9,24.0,1353545787,,,,,15.0,0.71014,0.784158,0.71014,0.558638,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,4,binary,0.78745,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:21,14804.9,14540.3,51.9,24.0,1353545788,,,,,16.0,0.714091,0.78745,0.714091,0.555521,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,5,binary,0.785798,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:58:03,14809.1,14544.4,53.2,24.0,1353545789,,,,,16.0,0.712492,0.785798,0.712492,0.557187,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,6,binary,0.784309,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:00,14807.9,14539.0,53.1,24.0,1353545790,,,,,17.0,0.711622,0.784309,0.711622,0.558769,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,7,binary,0.791759,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:32,14835.8,14564.1,54.0,24.0,1353545791,,,,,16.0,0.717007,0.791759,0.717007,0.551776,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,8,binary,0.783506,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:10,14817.6,14545.4,53.9,24.0,1353545792,,,,,15.0,0.709176,0.783506,0.709176,0.559171,,,,,,
openml.org/t/189356,albert,AutoGluon_bq_v1,4h8c,9,binary,0.785328,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:59:13,14818.3,14545.1,53.8,24.0,1353545793,,,,,16.0,0.711763,0.785328,0.711763,0.55789,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,0,regression,-1854.14,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:13,14533.3,14403.1,26.1,21.0,1353545784,,1156.68,0.590429,1854.14,18.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,1,regression,-1905.17,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:12:17,14519.5,14405.0,21.2,22.0,1353545785,,1163.28,0.583041,1905.17,15.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,2,regression,-1811.23,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:10,14511.4,14394.2,22.5,20.0,1353545786,,1157.75,0.592405,1811.23,17.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,3,regression,-1884.54,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:21,14522.5,14404.2,24.0,20.0,1353545787,,1165.83,0.579915,1884.54,17.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,4,regression,-1818.56,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:14,14519.3,14404.9,22.9,20.0,1353545788,,1160.73,0.595216,1818.56,16.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,5,regression,-1817.05,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:37,14516.1,14404.1,21.7,20.0,1353545789,,1159.42,0.60667,1817.05,16.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,6,regression,-1945.76,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:40,14513.3,14399.8,21.0,20.0,1353545790,,1195.07,0.591807,1945.76,16.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,7,regression,-1834.85,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:12:12,14515.7,14402.9,22.7,20.0,1353545791,,1172.05,0.593537,1834.85,16.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,8,regression,-1859.63,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:11:06,14479.7,14400.6,16.8,12.0,1353545792,,1163.03,0.578199,1859.63,7.0,,,,,,,,,,
openml.org/t/233212,Allstate_Claims_Severity,AutoGluon_bq_v1,4h8c,9,regression,-1867.08,neg_rmse,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:12:29,14509.0,14395.3,21.8,20.0,1353545793,,1176.13,0.585377,1867.08,15.0,,,,,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,0,multiclass,-0.7305,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:01:38,15028.5,14831.7,36.7,25.0,1353545784,,,,,19.0,0.86,,0.86,0.7305,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,1,multiclass,-0.664085,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:21,15034.5,14834.8,37.8,25.0,1353545785,,,,,19.0,0.933333,,0.933333,0.664085,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,2,multiclass,-0.528317,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:24,15030.8,14831.4,36.1,25.0,1353545786,,,,,19.0,0.94,,0.94,0.528317,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,3,multiclass,-0.693536,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:29,15035.2,14834.3,36.8,25.0,1353545787,,,,,19.0,0.873333,,0.873333,0.693536,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,4,multiclass,-0.618015,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:20,15033.4,14833.5,37.2,25.0,1353545788,,,,,19.0,0.926667,,0.926667,0.618015,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,5,multiclass,-0.657131,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:47,15042.0,14838.6,37.4,25.0,1353545789,,,,,19.0,0.913333,,0.913333,0.657131,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,6,multiclass,-0.666704,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:18,15023.7,14827.2,36.3,25.0,1353545790,,,,,19.0,0.893333,,0.893333,0.666704,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,7,multiclass,-0.793612,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:51,15037.0,14838.3,36.3,25.0,1353545791,,,,,19.0,0.88,,0.88,0.793612,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,8,multiclass,-0.718895,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:03:09,15043.2,14836.4,38.4,25.0,1353545792,,,,,19.0,0.926667,,0.926667,0.718895,,,,,,
openml.org/t/10090,amazon-commerce-reviews,AutoGluon_bq_v1,4h8c,9,multiclass,-0.724964,neg_logloss,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T16:02:56,15026.3,14829.2,37.6,25.0,1353545793,,,,,19.0,0.9,,0.9,0.724964,,,,,,
openml.org/t/359979,Amazon_employee_access,AutoGluon_bq_v1,4h8c,0,binary,0.903206,auc,aws,1.0.0b20231126,"dev [https://github.com/Innixma/automlbenchmark, 2023_11_26, 8facda0]",2023-11-26T15:18:25,14868.1,14406.1,37.6,99.0,1353545784,,,,,79.0,0.952701,0.903206,0.691774,0.136871,,,,,,
